project,period_s,run_id,n_agents,n_completed,n_ratio,mean_ratio_to_static_path,median_ratio_to_static_path,q95_ratio_to_static_path,q99_ratio_to_static_path,mean_excess_pct,q95_excess_pct,q99_excess_pct,mean_distance_m,q95_distance_m,mean_switch,q95_switch,q99_switch,max_switch,share_switch_ge1,share_switch_ge2
static-0,0,12,4248,4244,3962,1.0,1.0,1.0,1.0,0.0,0.0,0.0,63.89244743892789,146.51279999999997,0.013195098963242224,0.0,1.0,3,0.012016965127238455,0.000706880301602262
static-0,0,13,4945,4941,4590,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54.59505874030156,124.268,0.011333738109694394,0.0,1.0,3,0.010524185387573366,0.0006071645415907711
static-0,0,14,2863,2861,2661,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56.009348225477105,121.849,0.005592450192240475,0.0,0.0,2,0.005242922055225445,0.0003495281370150297
static-0,0,15,2445,2443,2266,1.0,1.0,1.0,1.0,0.0,0.0,0.0,59.13418162718788,133.8737,0.007777322963569382,0.0,0.0,1,0.007777322963569382,0.0
static-0,0,16,4005,4002,3746,1.0,1.0,1.0,1.0,0.0,0.0,0.0,65.40588014954022,140.5949,0.016741629185407298,0.0,1.0,2,0.01649175412293853,0.0002498750624687656
static-0,0,17,3388,3385,3190,1.0,1.0,1.0,1.0,0.0,0.0,0.0,68.5796594075421,133.94859999999994,0.012998522895125554,0.0,1.0,2,0.012407680945347119,0.0005908419497784342
static-0,0,18,2037,2035,1880,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62.13527890679115,141.87109999999998,0.005405405405405406,0.0,0.0,3,0.004422604422604423,0.0004914004914004914
static-0,0,19,4600,4596,4287,1.0,1.0,1.0,1.0,0.0,0.0,0.0,58.16466298601394,121.568,0.015448215839860748,0.0,1.0,2,0.014795474325500435,0.0006527415143603133
static-0,0,20,4124,4120,3880,1.0,1.0,1.0,1.0,0.0,0.0,0.0,63.2811088674733,127.54464999999999,0.015533980582524271,0.0,1.0,3,0.013106796116504855,0.0016990291262135922
density-10,10,1,23555,23509,21807,1.0672916186703079,1.0414480411150575,1.3492911288375518,1.6768070123558048,6.729161867030786,34.929112883755174,67.68070123558047,59.39043893215194,142.90659999999997,0.07792760219490408,1.0,2.0,7,0.06155089540176103,0.012165553617763409
density-10,10,2,22671,22627,21162,1.0659080145151187,1.041604280310327,1.3604414340799098,1.7223767184752372,6.590801451511874,36.04414340799098,72.23767184752373,66.20318557825871,152.59580000000005,0.10955937596676536,1.0,2.0,12,0.08344013788836346,0.0188712599991161
density-10,10,3,21262,21220,19603,1.0716058748500816,1.0451950135107095,1.3362534393306869,1.652974047717068,7.160587485008163,33.625343933068685,65.2974047717068,57.45329976229783,143.88074999999998,0.0674363807728558,1.0,2.0,6,0.05409990574929312,0.010084825636192271
density-10,10,4,22419,22375,21197,1.0439693502700331,1.0454710268338832,1.3772750774514504,1.598122633429521,4.3969350270033125,37.72750774514504,59.81226334295211,80.40029218186324,185.9672,0.1195977653631285,1.0,2.0,6,0.09331843575418994,0.019575418994413406
density-10,10,5,22585,22541,20883,1.0622954542471206,1.0414766459302391,1.3257273537845278,1.5498545728555901,6.229545424712057,32.572735378452776,54.985457285559015,58.68357296562087,141.788,0.065525043254514,1.0,1.0,7,0.05336941573133401,0.009005811632136995
density-10,10,6,24166,24118,22454,1.0555270894866304,1.0412070611970692,1.3127719049650757,1.5397277470255968,5.552708948663043,31.27719049650757,53.972774702559676,64.73889479235675,152.34779999999998,0.0852889957707936,1.0,2.0,7,0.06729413715896841,0.01326809851563148
density-10,10,7,24696,24648,22996,1.0654097380914065,1.0408264404636134,1.3963039029894528,1.8106273068001548,6.540973809140649,39.63039029894529,81.06273068001548,62.678507541410255,153.46839999999995,0.0906361570918533,1.0,2.0,125,0.06381856540084388,0.014118792599805257
density-10,10,8,21548,21506,20178,1.0586900564847874,1.0437062546904547,1.3043621130557344,1.5274320935458605,5.869005648478742,30.436211305573437,52.74320935458605,64.17285277456523,143.63275000000002,0.07170092067330047,1.0,2.0,7,0.05789082116618618,0.010276201990142286
density-10,10,9,22274,22230,20683,1.0880949420767645,1.0434892816540142,1.3528613391370885,2.401527345222598,8.80949420767645,35.28613391370885,140.15273452225978,73.91812486452181,174.8653,0.08421052631578947,1.0,2.0,7,0.06837606837606838,0.011920827710301394
density-10,10,10,23171,23125,21588,1.035088999581368,1.038555042590186,1.2975119604260128,1.6291138483035514,3.508899958136791,29.75119604260128,62.911384830355146,74.5166953777535,178.7816,0.09971891891891892,1.0,2.0,7,0.07865945945945946,0.016345945945945947
