sample_index,run_id,T_0.95_static,T_0.99_static,soft_risk_static,hard_harm_static,T_0.95_density,T_0.99_density,soft_risk_density,hard_harm_density,T_0.95_risk_01,T_0.99_risk_01,soft_risk_risk_01,hard_harm_risk_01,T_0.95_risk_05,T_0.99_risk_05,soft_risk_risk_05,hard_harm_risk_05,T_0.95_risk_10,T_0.99_risk_10,soft_risk_risk_10,hard_harm_risk_10,T_0.95_risk_50,T_0.99_risk_50,soft_risk_risk_50,hard_harm_risk_50,T_0.95_risk_100,T_0.99_risk_100,soft_risk_risk_100,hard_harm_risk_100
11,11,215.3,254.3,2069900.0,0,225.9,260.9,2100400.0,0,224.0,257.1,1936760.0,0,234.0,272.4,1691550.0,0,252.8,309.2,1559580.0,0,352.0,430.3,1352710.0,0,355.3,441.3,1350740.0,0
12,12,264.2,345.1,1585670.0,0,236.1,309.3,1577310.0,0,245.7,305.2,1533390.0,0,249.6,318.8,1413920.0,0,243.9,310.8,1350320.0,0,228.4,286.1,1238750.0,0,224.6,286.1,1209830.0,0
13,13,204.4,252.5,1960110.0,10222,224.7,265.6,2105820.0,4317,209.9,258.8,1844020.0,3705,233.9,290.3,1348680.0,0,227.3,276.2,1240320.0,0,229.0,272.6,1132750.0,0,222.5,275.7,1113280.0,0
14,14,158.4,179.1,779677.0,0,162.2,185.1,787195.0,0,158.5,183.1,766428.0,0,155.6,187.7,726756.0,0,155.5,193.7,709136.0,0,165.4,193.7,694105.0,0,167.0,195.1,685013.0,0
15,15,176.8,199.5,437588.0,0,176.5,195.8,435745.0,0,171.8,196.8,416711.0,0,176.1,198.9,373033.0,0,184.1,208.8,343281.0,0,189.7,245.2,316371.0,0,188.9,252.9,311293.0,0
16,16,244.2,266.1,327651.0,0,237.6,263.0,325242.0,0,238.4,264.1,323214.0,0,238.9,263.3,311735.0,0,240.9,268.0,292014.0,0,256.7,284.4,254529.0,0,259.3,290.0,238699.0,0
17,17,214.2,239.5,1850900.0,4054,215.2,250.7,1764110.0,3957,223.7,273.1,1465930.0,399,258.7,315.0,1215640.0,0,281.2,330.1,1180440.0,0,330.6,375.1,1117760.0,0,327.1,375.1,1114670.0,0
18,18,170.2,202.6,235319.0,0,171.9,199.6,230400.0,0,170.4,203.8,214659.0,0,169.6,194.6,190061.0,0,175.0,202.8,173820.0,0,179.7,207.8,157347.0,0,189.4,235.8,151804.0,0
19,19,206.2,249.5,807399.0,0,208.1,252.3,778246.0,0,211.9,255.5,739454.0,0,225.8,270.0,642754.0,0,230.8,268.8,602214.0,0,278.0,350.3,517256.0,0,298.3,378.2,504818.0,0
20,20,210.7,258.9,1385430.0,0,213.1,242.9,1458480.0,0,216.2,252.8,1356750.0,0,223.0,268.7,1200880.0,0,231.6,273.6,1110950.0,0,254.1,294.9,995410.0,0,265.4,299.3,971068.0,0
21,21,219.5,251.8,1291410.0,0,219.8,252.7,1311250.0,0,218.3,247.2,1275060.0,0,222.5,249.6,1197060.0,0,234.1,284.8,1105860.0,0,251.7,326.7,971319.0,0,257.9,337.7,959648.0,0
